FabricType,StitchCount,ThreadTension,SeamStrength,ColorConsistency,MeasurementAccuracy,ButtonAttachmentStrength,LabelPositionAccuracy,PrintAlignment,BrokenStitches,OilStains,LooseThreads,IroningQuality,PackingQuality,Shift,GarmentType,Humidity,Temperature,ProductionTimePerPiece(min),DefectCountInBatch,IsDefective
Polyester,47.27286129,4.248357077,31.87738723,0,99.33839078,38.7,0,Aligned,12.02705068,1,1,0,Damaged,Night,Trousers,65.39911164,31.20710634,3.73,3,0
Linen,55.26021261,3.930867849,26.84676653,0,99.33839078,26.82,1,Slightly Off,10.13519945,1,2,0,Damaged,Morning,Jeans,66.49526263,25.60793869,5.11,3,1
Denim,55.96105641,4.323844269,36.70040892,1,99.55892719,33.19,0,Misaligned,7.883407165,1,6,0,Damaged,Morning,Trousers,35.74679693,31.01157141,3.78,2,1
Cotton,55.28063301,4.761514928,39.06521735,1,99.55892719,22.42,0,Slightly Off,6.676308037,1,5,1,Wet,Night,Jeans,49.58754861,27.63693409,5.77,2,0
Denim,48.73326138,3.882923313,27.7027901,0,98.89731797,24.89,0,Slightly Off,17.66881753,1,5,1,Wet,Night,Blazer,61.97789397,26.77436787,4.28,5,0
Linen,45.41623667,3.882931522,28.86327806,1,100,38.59,1,Slightly Off,11.71360142,0,0,0,Wet,Morning,Trousers,53.94646876,24.44060696,6.8,0,1
Polyester,54.0118785,4.789606408,35.73953844,0,99.55892719,24.94,1,Aligned,9.222223914,1,3,1,Wet,Evening,Blazer,70.04558466,28.18677149,6.64,2,1
Denim,54.9780645,4.383717365,32.89614211,0,99.33839078,36.42,1,Aligned,10.59283383,0,3,0,Good,Morning,Shirt,61.73500942,25.57173448,5.05,3,1
Polyester,43.56164426,3.765262807,29.15105419,1,99.33839078,20.79,0,Aligned,10.57884503,1,8,1,Damaged,Evening,Jeans,52.32314896,26.9163711,6.21,3,0
Polyester,51.63285031,4.271280022,33.37059826,1,99.77946359,21.67,1,Aligned,11.13640848,1,3,1,Wet,Morning,Shirt,53.21330629,29.33225135,4.29,1,1
Cotton,50.32631002,3.768291154,28.19394826,1,99.55892719,32.22,0,Slightly Off,12.5682029,1,3,1,Good,Morning,Blazer,54.43210167,26.90780451,5.6,2,0
Cotton,49.761687,3.767135123,27.86258953,1,99.55892719,34.44,0,Aligned,12.51074035,1,7,1,Damaged,Morning,Blazer,46.54042603,27.95169739,3.73,2,1
Denim,46.70130717,4.120981136,32.28149605,0,99.33839078,27.69,1,Slightly Off,7.970244332,1,8,0,Good,Night,Jeans,64.39214136,31.54092807,5.47,3,1
Linen,38.95047654,3.043359878,24.84995363,0,99.11785438,30.8,1,Aligned,16.59057318,1,9,1,Damaged,Evening,Blazer,62.42428818,28.6884707,3.1,4,1
Denim,32.01121177,3.137541084,24.15143906,1,99.77946359,21.27,1,Slightly Off,12.06603953,0,5,0,Wet,Night,Trousers,59.54270768,24.96255724,3.19,1,1
Polyester,46.87834563,3.718856235,33.22685095,1,99.77946359,38.53,1,Slightly Off,10.58629749,1,3,0,Wet,Morning,Jeans,57.42574689,25.78355271,3.99,1,1
Cotton,42.66548981,3.49358444,29.47293866,1,99.77946359,34.78,0,Aligned,10.90135307,0,2,1,Damaged,Night,Trousers,44.81802221,27.42213342,4.46,1,0
Polyester,51.78038081,4.157123666,28.48445176,0,99.11785438,20.67,1,Aligned,8.528337588,0,6,0,Damaged,Evening,Blazer,60.04193199,33.36468248,3.33,4,1
Polyester,41.06463177,3.545987962,29.93908699,1,99.11785438,33.85,0,Slightly Off,13.71141707,1,1,0,Good,Evening,Blazer,56.29102473,22.99592083,4.57,4,1
Linen,49.94653416,3.293848149,28.16741714,0,99.11785438,20.48,1,Slightly Off,16.09724962,1,9,1,Wet,Evening,Shirt,75.02269095,27.57045797,5.32,4,1
Cotton,52.28739408,4.732824384,36.55839017,1,99.11785438,39.92,1,Misaligned,8.365383575,0,7,0,Damaged,Evening,Jeans,42.06708902,31.0933141,5.2,4,1
Polyester,51.50310075,3.88711185,26.61130204,1,99.11785438,34.68,1,Aligned,6.696398944,0,1,1,Good,Morning,Trousers,47.76704612,28.84387027,6.32,4,0
Linen,43.24667763,4.033764102,32.2943131,1,99.55892719,28.65,0,Misaligned,8.851128002,0,0,1,Damaged,Night,Blazer,39.13355443,26.60356868,5.97,2,1
Linen,41.97323176,3.287625907,26.2778813,1,99.55892719,38.37,1,Slightly Off,12.07989034,0,6,0,Wet,Evening,Jeans,52.81980208,21.84111072,3.14,2,1
Polyester,47.61265354,3.727808638,26.45753039,1,99.55892719,29.82,0,Aligned,8.85007679,0,8,0,Damaged,Evening,Shirt,37.59100632,31.53432927,4.7,2,0
Linen,48.9404149,4.055461295,28.09003271,0,99.11785438,26.22,1,Misaligned,10.09288234,1,8,0,Wet,Evening,Trousers,66.85501636,25.58037652,3.35,4,0
Polyester,38.61741648,3.424503211,27.13336505,0,99.33839078,22.04,1,Aligned,11.4964131,1,1,0,Good,Evening,Trousers,65.92237309,24.14104504,6.44,3,1
Polyester,50.95986256,4.187849009,32.8035605,1,99.55892719,37.21,1,Aligned,11.57783192,0,9,1,Damaged,Morning,Blazer,53.40368022,27.75276318,5.45,2,1
Denim,45.73121953,3.699680655,28.34564914,1,99.11785438,31.09,1,Misaligned,8.235775291,1,7,0,Wet,Morning,Trousers,44.86278212,31.28142543,3.66,4,0
Denim,55.19951993,3.854153125,30.5829928,1,98.89731797,39.69,1,Misaligned,14.03203387,0,10,1,Good,Night,Jeans,39.75897451,28.21463752,6.52,5,1
Polyester,40.0280589,3.699146694,26.28484443,1,99.77946359,24.8,0,Misaligned,17.58452307,1,3,0,Damaged,Morning,Blazer,47.96135385,25.90616801,6.88,1,0
Linen,56.33410163,4.926139092,38.1046509,0,99.33839078,27.33,1,Aligned,14.43507343,1,2,1,Damaged,Evening,Blazer,61.25371372,27.74400262,3.34,3,1
Linen,49.34269444,3.993251388,33.54598619,1,99.77946359,34.37,1,Misaligned,10.26136478,0,1,1,Wet,Evening,Shirt,47.1294731,27.35537965,6.05,1,0
Denim,40.37346547,3.471144536,26.71924604,0,99.77946359,23.18,0,Aligned,15.06367641,0,1,0,Wet,Night,Jeans,74.08576176,25.59565009,6.84,1,0
Polyester,52.43506428,4.411272456,30.27426223,0,99.55892719,23.41,1,Slightly Off,12.82821651,0,9,1,Wet,Morning,Shirt,69.9069544,27.20177388,5.34,2,0
Denim,46.02669728,3.389578175,25.69854857,1,100,39.2,1,Slightly Off,13.09026816,1,4,0,Damaged,Evening,Jeans,55.00823943,24.52714419,3.04,0,0
Polyester,35.15184905,4.104431798,29.62497899,1,100,23.45,0,Misaligned,12.32215333,0,4,0,Wet,Morning,Blazer,50.38131745,24.03303234,6.08,0,1
Linen,33.25223253,3.020164938,24.96272839,1,99.77946359,26,1,Aligned,16.00880151,1,3,1,Good,Evening,Jeans,49.308041,28.65763631,6.75,1,0
Polyester,31.31903758,3.335906976,27.64376801,0,99.77946359,34.65,0,Slightly Off,15.97831346,1,8,0,Damaged,Morning,Jeans,70.98376761,25.81664121,4.21,1,1
Denim,43.20208523,4.098430618,27.81112107,1,99.55892719,35.99,0,Misaligned,9.368121974,0,3,1,Good,Evening,Trousers,48.43304668,26.92294974,3.92,2,0
Denim,64.45392194,4.36923329,37.23090523,0,99.11785438,23.16,0,Misaligned,13.50460759,1,2,0,Good,Night,Trousers,64.34368953,24.68436212,4.29,4,1
Denim,52.01905036,4.085684141,29.34891422,1,99.11785438,35.18,0,Misaligned,16.82801929,1,7,0,Wet,Morning,Shirt,55.21792213,25.29909868,4.89,4,0
Cotton,52.06393493,3.942175859,36.21495374,0,99.11785438,29.35,0,Aligned,14.76219321,1,7,0,Good,Evening,Trousers,62.13562214,25.54963224,5.83,4,1
Polyester,45.79072958,3.849448152,30.64925642,1,99.77946359,21.37,0,Aligned,16.91049244,1,9,0,Good,Morning,Shirt,46.79602708,25.23814645,4.94,1,1
Denim,42.92243718,3.260739005,22.34673154,1,99.55892719,22.51,1,Aligned,5.72796392,0,2,0,Damaged,Night,Trousers,51.67081404,25.77042349,6.34,2,0
Linen,34.84811221,3.640077896,25.69466495,1,99.11785438,31.88,0,Slightly Off,14.5069714,1,10,1,Damaged,Night,Shirt,54.7581748,27.59230934,5.19,4,1
Polyester,50.42765943,3.769680615,31.20173079,1,99.11785438,27.66,1,Misaligned,13.25339258,1,2,0,Good,Morning,Trousers,48.68633382,31.16983145,4.31,4,0
Polyester,50.24351276,4.528561113,35.05458924,0,99.77946359,33.06,1,Slightly Off,14.02413187,0,5,1,Damaged,Night,Jeans,67.49224169,29.28272741,5.56,1,1
Polyester,47.40513064,4.171809145,33.08451143,1,99.33839078,27.34,0,Misaligned,8.279503238,0,6,0,Damaged,Evening,Blazer,47.3569187,25.99628391,6.97,3,0
Linen,39.94751442,3.118479922,29.78618008,1,99.55892719,37.64,1,Misaligned,12.24461688,1,10,0,Wet,Evening,Jeans,49.22967858,25.10227036,5.65,2,1
Polyester,51.52673761,4.162041985,31.19860368,0,99.33839078,30.72,0,Aligned,14.37752623,0,4,0,Damaged,Morning,Trousers,68.58700024,21.66297763,3.48,3,0
Cotton,46.11260656,3.80745886,30.63955945,0,98.89731797,25.64,1,Slightly Off,9.206076608,1,0,0,Damaged,Evening,Jeans,66.64927237,24.98056559,3.76,5,1
Denim,37.12298723,3.661539,33.55184546,0,100,36.42,0,Aligned,13.40386477,1,7,0,Good,Night,Blazer,70.87978772,23.70479247,6.35,0,0
Cotton,52.16912608,4.305838144,35.25824558,1,99.33839078,30.06,0,Aligned,11.33750796,1,2,1,Damaged,Night,Blazer,35.91726836,27.16354972,6.13,3,0
Denim,58.9888039,4.515499761,31.30418988,1,99.55892719,33.05,1,Slightly Off,10.38120848,1,1,0,Damaged,Evening,Trousers,57.00722749,32.00572402,4.65,2,0
