Sample_ID,Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Fiber,Density,Oil_Content,Resin,Pesticide_Level,PH_Value,Quality_Label
SMP_11500,7.5736,1.3275,2.0913,0.1619,0.4304,0.3629,10.7925,0.9129,6.0226,2.3582,0.0132,5.9011,Low
SMP_06476,4.8287,1.8409,3.1560,0.5962,0.2313,0.4174,,1.0168,14.0692,2.0664,0.0671,6.2156,High
SMP_13168,5.9163,1.8305,2.8138,0.3576,0.1731,0.2641,10.1854,0.6120,8.6458,2.3166,0.0632,7.4807,Low
SMP_00863,7.6204,1.4347,2.2203,0.9347,0.2845,0.2951,15.7833,0.9825,6.0689,2.5528,0.0436,4.7171,Medium
SMP_05971,7.1486,1.0407,1.7494,0.2689,0.0802,0.1435,19.0815,0.7171,8.9223,1.7143,0.0745,6.8952,High
SMP_06707,7.0340,1.3474,1.9673,0.1213,0.3424,0.4107,15.1091,0.7636,8.3316,2.1126,0.0331,6.2973,Medium
SMP_03018,4.9116,1.8722,1.7073,0.3210,,0.1285,13.8431,0.7490,6.6011,2.6520,0.0386,7.4458,Medium
SMP_03782,7.3179,,2.1041,0.2464,,0.4143,16.6671,0.7227,6.3974,2.4857,0.0324,4.5665,High
SMP_03899,5.1119,1.0225,3.2706,0.7775,0.2628,0.4772,12.9354,0.9723,8.0516,1.2865,0.0845,6.8611,Medium
SMP_02251,7.4586,1.0263,3.2775,0.3752,0.2788,0.1530,19.0226,1.0249,14.2416,2.2081,0.0185,5.4249,High
SMP_00543,4.3391,1.8077,2.9287,0.9237,0.4346,0.3733,10.5234,1.0480,13.4552,2.4978,0.0509,5.1988,Low
SMP_04352,,1.2865,1.4238,0.7891,0.2279,0.4328,18.8272,1.0257,8.9668,2.3034,0.0156,6.4834,High
SMP_12808,,1.6290,2.3330,0.2238,0.2746,0.3854,15.6858,1.1196,14.4873,1.4094,0.0260,5.7170,Medium
SMP_06632,6.3995,1.1208,3.4419,0.9212,0.3105,0.4110,10.1998,0.6411,12.6787,0.7655,0.0043,6.3472,Low
SMP_06706,6.2422,1.3673,3.1392,0.3067,0.0612,0.1203,15.8224,1.1247,10.6428,1.5230,0.0578,6.5134,High
SMP_06979,5.0941,1.5638,3.3560,0.6581,0.0879,0.2997,18.9435,0.7885,13.4796,2.4855,0.0907,,High
SMP_07400,7.6130,1.5002,1.0255,0.4679,0.1270,0.4685,14.4580,0.8575,,1.8056,0.0083,5.8762,Low
SMP_11120,,1.8246,2.0807,0.7726,0.3203,0.2881,11.0456,0.9407,10.5668,2.9706,0.0583,6.1271,Low
SMP_12666,7.9987,1.5815,3.2762,0.3811,0.2171,0.2000,18.8869,0.9720,5.5314,1.2936,0.0105,5.6953,High
SMP_05305,4.4825,1.0084,1.2224,0.1326,0.2303,0.2560,12.4162,0.6509,8.9642,0.7165,0.0215,5.7171,Low
SMP_02313,4.3192,1.2073,1.3632,0.8478,0.4382,0.3112,11.0418,0.5950,13.1355,2.8230,0.0200,4.5335,Low
SMP_07041,7.0026,1.3662,1.9380,0.2849,0.1706,0.3349,10.0374,0.5163,14.8648,1.0889,0.0830,6.3373,Low
