Sample_ID,Moisture (%),Ash (%),Volatile_Oil (%),Acid_Insoluble_Ash (%),Chromium (mg/kg),Coumarin (mg/kg),Quality_Label
H018,10.789005483182992,5.572559317573157,1.2592053409763568,0.2099630745409084,0.001387667754934734,0.0025867807883756737,High
L009,13.923083990162473,7.04366929447853,0.6904455458389331,0.7390942584454983,0.002792759155527881,0.013697191329185125,Low
H014,10.33990197207496,6.159258011612887,1.4696024968422037,0.3596379070138754,0.0015985353935429449,0.004400435589306917,High
M012,11.328746257164331,6.246080818714801,0.9990303438140953,0.4803313637166667,0.002506922578733485,0.008529598152813483,Medium
M006,11.640149559521507,6.043580048487378,1.1690377407761467,0.4286264876938563,0.0014883886688504295,0.006716462384236814,Medium
H020,10.441811704659655,5.8045810695832865,1.300194072714629,0.21878506094332623,0.0011057563278922189,0.003623370824213744,High
L019,13.141974663724596,7.28716215765756,0.7885817545017233,0.5484565594510334,0.0029280151981914476,0.019457084582945986,Low
L008,13.909547611079041,7.291356572009862,0.757869205008023,0.5982382290965755,0.003185725692775532,0.010454465185642223,Low
M008,12.280629065522618,6.505596553381548,1.0406829091127523,0.40949003975075876,0.00251331535825182,0.007720460193784743,Medium
M016,11.472714204895778,6.233489491569489,1.0303855400913928,0.3683318085982814,0.00190575622666147,0.010109988695693744,Medium
H018,10.779433747569161,5.571015989626462,1.2570232751497912,0.2101998600585217,0.0013980915177285685,0.0026215674547183966,High
L002,13.87274468955651,7.492541033160169,0.6994331872190485,0.6611381113240246,0.0034229220472073727,0.01460317620771636,Low
H009,10.876252402377384,5.909870748299863,1.3647597130080211,0.2115597132122962,0.0018999547335422232,0.002701780023879809,High
M010,11.786905823996243,6.270908101366104,1.120164125000229,0.34915046409031075,0.001700743884580085,0.009356567027709558,Medium
L018,13.396850060348006,7.244772966900329,0.6617385508639876,0.5505901807506092,0.003390546467226929,0.015824338032162766,Low
M019,11.549180052963761,6.2370238522762405,1.190345229393891,0.4799863081795736,0.002499613918494807,0.009478322632743032,Medium
H008,11.306651599621274,5.848655159076887,1.360017996207249,0.3582833479134164,0.0015920196608134177,0.004322585026006344,High
M015,12.405628278394081,6.989869820421197,1.1314797920000415,0.3691390151047876,0.002605530538706912,0.006431367004644928,Medium
H015,10.274878240317413,6.187965553290006,1.3799904422583553,0.338613507818698,0.0017978848939988821,0.003908793744841681,High
M013,11.173173827086819,6.136796955384675,1.098995830535334,0.47846552048615615,0.002511354504741158,0.008949171451838826,Medium
L019,13.11076385946149,7.292611571442452,0.7896943062780963,0.5489462520087053,0.002892519380282081,0.01938235881235456,Low
M008,12.28645341726159,6.492891733664907,1.0387682008452512,0.4112615238809387,0.0024916845448385095,0.007788821330477952,Medium
M006,11.64051778583573,6.044713354670319,1.169950548705807,0.4301012292211089,0.0014943981473037118,0.006649856935614499,Medium
L004,12.74,7.16,0.63,0.69,0.0026,0.0143,Low
L005,12.046561172017768,7.410291581684291,0.7690293786243286,0.7212794882451279,0.003914332793240599,0.014046350790962876,Low
M003,11.485060850206398,6.495418106125762,1.130170345380014,0.4799608753254374,0.0016766791137419748,0.005701725660567939,Medium
