Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Fiber,Density,Oil_Content,Resin,Pesticide_Level,PH_Value,Quality_Label
4.9995,1.6945,3.308,0.8572,0.1393,0.2268,15.1689,0.9002,6.9382,1.0751,0.0759,6.691,Medium
6.3371,1.0372,1.5225,0.9288,0.3179,0.2823,15.2198,0.5001,9.596,0.86,0.0859,5.7406,Low
5.7595,1.2296,2.3434,0.4336,0.1432,0.2207,12.3747,0.7653,14.6378,2.8414,0.0663,6.741,Medium
4.31,1.0581,2.213,0.9621,0.2421,0.2426,19.9796,0.8724,8.7525,1.4647,0.0195,6.0367,High
6.0899,1.3534,2.7956,0.3138,0.2798,0.2875,14.0338,0.6754,12.1292,1.0538,0.0902,6.3253,Medium
4.8573,1.5392,2.2568,0.5282,0.2573,0.1444,11.829,0.5682,7.4248,1.1587,0.0246,5.1328,Low
5.5787,1.3146,1.8042,0.2524,0.1823,0.1079,14.7292,1.0381,13.6225,2.5511,0.0417,6.6913,Medium
6.3498,1.957,2.4349,0.2429,0.2829,0.2584,14.7936,0.638,10.0083,0.8751,0.0745,6.2818,Medium
4.6268,1.3821,2.7852,0.35,0.328,0.1995,17.3758,1.044,8.104,0.5595,0.013,5.9729,Medium
4.3256,1.0115,2.0687,0.4694,0.4948,0.288,12.5642,1.1239,9.9107,1.998,0.0096,5.6488,Low
6.0208,1.9779,2.0809,0.7741,0.0686,0.4743,15.6246,0.72,6.269,2.1021,0.0747,4.7561,Medium
6.1248,1.2502,1.0708,0.157,0.353,0.2658,12.6248,1.1158,13.2509,1.6655,0.0276,6.0216,Low
5.483,1.0047,2.8794,0.5317,0.2687,0.3071,11.9989,1.0778,13.039,1.1401,0.0836,7.3447,Medium
6.263,1.2976,2.4613,0.4957,0.186,0.1269,12.5271,0.6385,10.4205,2.0042,0.0609,5.6646,Low
7.3993,1.2384,2.1669,0.8617,0.1033,0.3915,14.3688,0.8593,10.7904,1.1892,0.0097,4.556,Medium
5.056,1.6875,1.7948,0.5553,0.2036,0.4522,19.9399,0.6129,5.2358,1.0484,0.059,5.0219,High
5.698,1.3142,3.2884,0.1378,0.1556,0.4235,18.3396,0.5781,14.7377,2.2334,0.0273,5.8682,High
6.3758,1.9755,2.1941,0.7973,0.3957,0.299,17.9564,0.6828,6.2226,1.563,0.0944,6.0023,Medium
4.7754,1.7645,1.314,0.4766,0.3327,0.3768,17.3303,0.6355,14.8165,0.9461,0.0097,6.4922,High
7.8618,1.2636,1.3024,0.8172,0.2811,0.336,16.0682,0.9292,9.5427,2.939,0.0175,7.3736,High
6.6493,1.3256,1.1779,0.1409,0.1568,0.367,17.1823,0.59,6.3912,1.9831,0.0958,6.1588,Medium
4.2659,1.326,1.0921,0.8556,0.3901,0.3735,12.1448,0.9955,8.5532,2.6715,0.02,5.1536,Low
4.1289,1.3646,1.9321,0.8392,0.0948,0.1487,17.2435,1.0268,10.2269,1.3669,0.0584,6.6095,High
4.2676,1.1562,2.1222,0.4875,0.1115,0.4252,16.471,0.8249,12.2766,2.9201,0.0059,7.4837,High
6.8133,1.4545,2.9163,0.8318,0.3458,0.2672,19.8848,0.7147,10.1458,1.8011,0.0429,4.8643,High
6.8718,1.7429,1.1272,0.2991,0.1735,0.3191,11.4452,0.5938,14.4379,2.5106,0.0181,5.7198,Low
6.3668,1.7582,3.0516,0.4452,0.2507,0.3712,12.7815,0.5578,9.4322,2.9641,0.0374,5.395,Low
5.0577,1.5549,1.5362,0.7839,0.3765,0.1339,12.689,0.7746,6.9001,1.5638,0.0773,4.5367,Low
4.46,1.0714,2.4613,0.6594,0.2861,0.2413,19.2431,0.7405,8.107,2.863,0.0885,5.9304,Medium
4.7496,1.7028,3.2714,0.2538,0.1819,0.2802,12.3352,1.0734,11.2044,0.826,0.0025,7.0116,Medium
6.7078,1.3993,1.5808,0.9235,0.0899,0.4325,15.6129,0.5854,8.751,1.836,0.0173,4.8832,Medium
7.7061,1.8438,1.7751,0.778,0.3933,0.1912,16.1366,0.6786,12.8989,0.8846,0.0669,5.4781,Medium
4.3049,1.4893,1.7215,0.741,0.1652,0.4777,17.4243,0.5838,6.3989,1.3983,0.0028,4.647,Medium
7.1047,1.8523,1.9943,0.7338,0.2889,0.3721,14.4992,0.5238,8.2439,1.2372,0.0925,5.8153,Low
7.9324,1.7642,1.283,0.3642,0.2055,0.2261,17.8595,0.7524,9.9243,1.8337,0.0271,5.4681,High
7.7321,1.0555,3.4586,0.5176,0.2162,0.1167,12.2794,0.7189,12.2817,2.2435,0.0886,7.3192,Medium
6.6666,1.9692,3.2299,0.6432,0.2764,0.4535,12.9842,0.6565,9.1003,0.633,0.0302,4.7511,Medium
4.2282,1.7279,2.867,0.8112,0.4627,0.3374,12.5455,0.9702,8.2296,1.3564,0.0613,5.3672,Low
4.7284,1.0773,2.2643,0.7155,0.1232,0.2686,15.6865,0.6092,7.6989,2.0211,0.0726,6.408,Medium
4.5319,1.9363,1.2037,0.1707,0.4261,0.3566,13.5166,0.616,13.8418,2.9714,0.005,6.1624,Low
4.6318,1.9042,1.5766,0.3623,0.433,0.2834,10.24,0.8463,5.8455,2.9634,0.0589,5.2696,Low
5.7632,1.8366,3.2908,0.3989,0.1497,0.3089,12.9513,0.8752,11.2437,2.4891,0.0653,6.1017,Low
5.3758,1.3998,1.9429,0.2916,0.4725,0.4224,12.5054,0.5743,8.7262,1.5383,0.0008,7.1615,Medium
7.9596,1.4069,1.0275,0.2529,0.3437,0.3449,17.8787,0.6778,12.6364,2.22,0.0323,6.1365,High
4.5446,1.7203,1.9032,0.4014,0.3119,0.4062,10.2416,0.5343,5.9603,2.6153,0.0856,6.4153,Low
7.6809,1.1513,3.2038,0.2741,0.1338,0.1596,11.5748,0.969,5.0221,2.4985,0.0729,5.7467,Low
4.4799,1.5192,1.1321,0.5131,0.4044,0.2217,12.3326,0.6762,12.9126,2.9343,0.0229,4.706,Low
5.0822,1.6287,3.2936,0.3849,0.1478,0.1427,11.3047,0.5436,5.8765,1.5801,0.0321,6.6197,Low
5.4781,1.0299,3.3438,0.7153,0.2659,0.4114,10.8944,0.5609,12.072,0.6691,0.005,6.6609,Medium
4.4991,1.7212,2.9799,0.4549,0.3601,0.2556,11.6408,0.7781,10.5699,0.6025,0.0655,6.7279,Low
5.1905,1.9148,3.0093,0.8943,0.0733,0.3645,12.6761,1.0238,13.9109,2.4149,0.0911,5.6962,Low
7.4486,1.0875,2.6356,0.4322,0.3145,0.4396,14.2795,0.6313,6.135,2.9962,0.0768,4.663,Medium
4.805,1.2307,2.9559,0.4264,0.3871,0.2326,17.4533,1.0038,13.0901,2.5145,0.0072,6.521,High
6.56,1.724,3.2898,0.9003,0.2459,0.3166,18.0092,0.9192,8.5606,2.876,0.0998,7.2992,High
6.394,1.1296,2.806,0.6402,0.2782,0.3774,14.4405,0.8668,8.9836,2.2935,0.0877,7.0226,Medium
5.5374,1.8889,2.4552,0.3692,0.115,0.3776,16.6472,0.7521,6.6218,2.2905,0.0271,7.0861,High
4.4226,1.3477,1.77,0.4234,0.1983,0.4077,11.7173,1.0921,13.5827,1.7274,0.0107,6.2263,Low
7.7769,1.5896,1.8613,0.6632,0.4597,0.2096,15.0512,1.1711,6.724,2.2992,0.0615,6.5391,Medium
7.188,1.7607,1.8351,0.392,0.3483,0.4735,14.3879,0.7471,13.9469,2.2077,0.0389,4.6719,Medium
5.3209,1.2021,1.0944,0.8029,0.1047,0.1684,11.6817,1.1863,7.5339,0.9657,0.097,6.3817,Low
5.9585,1.5093,2.6427,0.1592,0.2024,0.1979,14.0296,0.8564,13.4942,2.6509,0.0535,6.8579,High
5.2875,1.0077,2.0566,0.4609,0.2403,0.3448,12.9991,0.6886,9.9779,1.9808,0.0568,7.145,Medium
4.0338,1.5666,2.2789,0.401,0.2244,0.1107,17.7455,0.7894,12.3085,2.8432,0.0009,6.7136,High
6.4692,1.2564,3.2062,0.2098,0.2432,0.1742,17.9945,0.7461,6.8672,2.3148,0.0818,5.8872,High
4.5237,1.8007,2.8978,0.1939,0.3506,0.3438,17.1337,0.8322,7.6999,2.1592,0.0372,5.1569,Medium
5.6264,1.159,1.8349,0.7906,0.1548,0.2914,15.654,0.9228,14.3573,2.1538,0.0787,6.2457,Medium
5.1163,1.9927,3.0657,0.6588,0.2849,0.397,19.5355,1.1985,13.6822,0.5771,0.0967,6.6996,High
5.7525,1.4705,1.6969,0.4419,0.3194,0.3321,16.3644,0.7463,8.1584,2.0291,0.0133,5.2591,Medium
4.4741,1.2045,1.0366,0.311,0.0669,0.1384,19.6217,0.563,12.8602,2.1117,0.0293,7.0816,High
4.2699,1.9581,1.1715,0.5947,0.1903,0.2562,16.2672,0.9087,6.6749,2.9245,0.0029,5.5302,Low
7.734,1.7379,2.3191,0.9557,0.4229,0.3624,10.3791,0.7015,8.0822,1.3682,0.039,7.3182,Low
7.2724,1.1821,1.1406,0.9532,0.0518,0.4908,17.2886,0.73,11.9782,2.5447,0.0246,6.8127,High
6.0604,1.3255,1.7066,0.9359,0.4604,0.3053,12.585,0.5717,6.5658,1.8057,0.0308,4.6263,Low
7.1257,1.6137,1.9885,0.619,0.0518,0.3943,18.4397,0.5323,8.9946,2.6219,0.0598,5.9502,High
6.9642,1.2051,3.2033,0.6494,0.2686,0.1449,11.3053,0.5849,7.1178,0.7605,0.0321,6.9365,Medium
7.8199,1.0711,3.0127,0.9489,0.3431,0.2309,11.9442,1.0737,5.9788,1.697,0.0798,6.9786,Medium
6.9753,1.2272,1.5123,0.7328,0.2847,0.1935,14.8402,0.8217,11.9145,0.5067,0.0587,6.3171,Medium
4.9493,1.0292,2.5964,0.4338,0.1905,0.3549,18.2869,0.5932,14.1867,0.5857,0.0096,7.0144,High
6.8145,1.1247,2.0896,0.7626,0.4655,0.4495,18.6404,0.751,14.2718,2.2092,0.0887,4.7668,High
5.2611,1.3568,2.0144,0.9567,0.1664,0.2971,19.5149,0.8333,13.636,0.647,0.0954,5.0626,High
4.2596,1.4658,1.6007,0.5229,0.255,0.3329,13.5678,0.615,10.0372,2.5756,0.0665,5.5152,Low
6.273,1.525,2.6201,0.3464,0.2588,0.4863,13.5113,0.8067,5.8409,0.8522,0.0643,7.3542,Medium
4.8065,1.6096,2.5742,0.7649,0.268,0.4303,13.9539,0.7645,9.4277,2.6879,0.073,6.3705,Medium
7.0344,1.0763,1.0753,0.996,0.1054,0.4064,16.0452,0.8171,5.3693,1.3216,0.0901,7.2155,Medium
7.405,1.8775,1.6658,0.6596,0.1664,0.1901,10.2121,0.9041,6.4995,0.531,0.0105,5.4414,Low
5.9012,1.7643,1.3411,0.6761,0.4436,0.4623,19.0266,1.1408,13.8655,2.442,0.0198,6.0058,High
4.8625,1.9862,2.8726,0.811,0.0979,0.2906,19.4561,0.6891,6.4539,1.7135,0.0931,5.9604,High
7.0537,1.8272,2.8178,0.6981,0.3075,0.2936,17.1851,0.5881,5.0441,1.1025,0.0007,5.8471,Medium
6.8366,1.2866,2.5714,0.5718,0.4967,0.4786,13.9419,1.0616,9.0683,1.1745,0.0015,6.6564,Medium
6.011,1.5172,1.925,0.7668,0.4029,0.4054,17.2262,0.6432,8.3797,1.6747,0.0331,6.7649,High
